"","VALUE","YEAR","DIST_TYPE","SEVERITY","sumcount","ACRES"
"340",471,2010,"Wildfire","Low",709,157.6777005
"341",472,2010,"Wildfire","Medium",63,14.0108535
"342",473,2010,"Wildfire","High",7,1.5567615
"343",491,2010,"Prescribed Fire","Low",34301,7628.3537445
"344",492,2010,"Prescribed Fire","Medium",1530,340.263585
"345",493,2010,"Prescribed Fire","High",115,25.5753675
"346",601,2010,"Unknown","Low",1785,396.9741825
"347",602,2010,"Unknown","Medium",1436,319.358502
"348",603,2010,"Unknown","High",417,92.7385065
"349",701,2010,"Unknown","Low",1401,311.5746945
"350",702,2010,"Unknown","Medium",407,90.5145615
"351",703,2010,"Unknown","High",176,39.141432
"352",741,2010,"Thinning","Low",3,0.6671835
"353",742,2010,"Thinning","Medium",4,0.889578
"354",761,2010,"Other Mechanical","Low",269,59.8241205
"355",762,2010,"Other Mechanical","Medium",63,14.0108535
"356",763,2010,"Other Mechanical","High",16,3.558312
"357",791,2010,"Prescribed Fire","Low",37,8.2285965
"358",941,2010,"Thinning","Low",12973,2885.1238485
"359",961,2010,"Other Mechanical","Low",60499,13454.6448555
"360",971,2010,"Wildfire","Low",2110,469.252395
"361",991,2010,"Prescribed Fire","Low",37388,8314.885566
"362",1031,2010,"Chemical","Low",211,46.9252395
"363",1101,2010,"Unknown","Low",76,16.901982
"364",1102,2010,"Unknown","Medium",38,8.450991
"365",1103,2010,"Unknown","High",66,14.678037
"366",1111,2010,"Unknown","Low",127,28.2441015
"367",1112,2010,"Unknown","Medium",74,16.457193
"368",1113,2010,"Unknown","High",147,32.6919915
"369",1121,2010,"Unknown","Low",3355,746.1335475
"370",1122,2010,"Unknown","Medium",1691,376.0690995
"371",1123,2010,"Unknown","High",1555,345.8234475
"372",1131,2010,"Unknown","Low",314,69.831873
"373",1132,2010,"Unknown","Medium",395,87.8458275
"374",1133,2010,"Unknown","High",299,66.4959555
"375",11,2011,"Wildfire","Unburned/Low",371746,82674.265797
"376",12,2011,"Wildfire","Low",581859,129402.2413755
"377",13,2011,"Wildfire","Medium",541262,120373.691859
"378",15,2011,"Wildfire","Increased Green",130,28.911285
"379",16,2011,"Wildfire","NA",289,64.2720105
"380",31,2011,"Wildfire","Unburned/Low",455,101.1894975
