"","BPS_NAME","BPS_MODEL","groupedCount","ACRES","fireType","returnInterval","annualProb","annualAcres","percentAnnual"
"60","North-Central Interior Sand and Gravel Tallgrass Prairie","14120_39_40_41_42_43_50_51",11536,2560.992,"FRI_ALLFIR",3,0.333333333333333,853.664,33.3333333333333
"61","Central Interior and Appalachian Swamp Systems","14790_41_42_47_48_50_51_53",7568,1680.096,"FRI_REPLAC",987,0.00101317122593718,1.70222492401216,0.101317122593718
"62","Central Interior and Appalachian Swamp Systems","14790_41_42_47_48_50_51_53",7568,1680.096,"FRI_MIXED",NA,NA,NA,NA
"63","Central Interior and Appalachian Swamp Systems","14790_41_42_47_48_50_51_53",7568,1680.096,"FRI_SURFAC",NA,NA,NA,NA
"64","Central Interior and Appalachian Swamp Systems","14790_41_42_47_48_50_51_53",7568,1680.096,"FRI_ALLFIR",987,0.00101317122593718,1.70222492401216,0.101317122593718
"65","North-Central Interior Dry Oak Forest and Woodland","13110_51",3461,768.342,"FRI_REPLAC",137,0.0072992700729927,5.60833576642336,0.72992700729927
"66","North-Central Interior Dry Oak Forest and Woodland","13110_51",3461,768.342,"FRI_MIXED",111,0.00900900900900901,6.922,0.900900900900901
"67","North-Central Interior Dry Oak Forest and Woodland","13110_51",3461,768.342,"FRI_SURFAC",11,0.0909090909090909,69.8492727272727,9.09090909090909
"68","North-Central Interior Dry Oak Forest and Woodland","13110_51",3461,768.342,"FRI_ALLFIR",9,0.111111111111111,85.3713333333333,11.1111111111111
"69","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","13442_51",654,145.188,"FRI_REPLAC",112,0.00892857142857143,1.29632142857143,0.892857142857143
"70","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","13442_51",654,145.188,"FRI_MIXED",NA,NA,NA,NA
"71","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","13442_51",654,145.188,"FRI_SURFAC",NA,NA,NA,NA
"72","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","13442_51",654,145.188,"FRI_ALLFIR",112,0.00892857142857143,1.29632142857143,0.892857142857143
"73","North-Central Interior Beech-Maple Forest","13130_47_50_51",193,42.846,"FRI_REPLAC",1004,0.00099601593625498,0.0426752988047809,0.099601593625498
"74","North-Central Interior Beech-Maple Forest","13130_47_50_51",193,42.846,"FRI_MIXED",NA,NA,NA,NA
"75","North-Central Interior Beech-Maple Forest","13130_47_50_51",193,42.846,"FRI_SURFAC",836,0.00119617224880383,0.0512511961722488,0.119617224880383
"76","North-Central Interior Beech-Maple Forest","13130_47_50_51",193,42.846,"FRI_ALLFIR",456,0.00219298245614035,0.0939605263157895,0.219298245614035
"77","North-Central Interior Dry-Mesic Oak Forest and Woodland","13100_51",119,26.418,"FRI_REPLAC",161,0.0062111801242236,0.164086956521739,0.62111801242236
"78","North-Central Interior Dry-Mesic Oak Forest and Woodland","13100_51",119,26.418,"FRI_MIXED",160,0.00625,0.1651125,0.625
"79","North-Central Interior Dry-Mesic Oak Forest and Woodland","13100_51",119,26.418,"FRI_SURFAC",11,0.0909090909090909,2.40163636363636,9.09090909090909
"80","North-Central Interior Dry-Mesic Oak Forest and Woodland","13100_51",119,26.418,"FRI_ALLFIR",9,0.111111111111111,2.93533333333333,11.1111111111111
"81","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","14940_41_50_51",77,17.094,"FRI_REPLAC",18,0.0555555555555556,0.949666666666667,5.55555555555556
"82","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","14940_41_50_51",77,17.094,"FRI_MIXED",NA,NA,NA,NA
"83","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","14940_41_50_51",77,17.094,"FRI_SURFAC",NA,NA,NA,NA
"84","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","14940_41_50_51",77,17.094,"FRI_ALLFIR",18,0.0555555555555556,0.949666666666667,5.55555555555556
"85","Great Lakes Coastal Marsh Systems","14920_41_50_51_52_63",12,2.664,"FRI_REPLAC",NA,NA,NA,NA
"86","Great Lakes Coastal Marsh Systems","14920_41_50_51_52_63",12,2.664,"FRI_MIXED",NA,NA,NA,NA
"87","Great Lakes Coastal Marsh Systems","14920_41_50_51_52_63",12,2.664,"FRI_SURFAC",NA,NA,NA,NA
"88","Great Lakes Coastal Marsh Systems","14920_41_50_51_52_63",12,2.664,"FRI_ALLFIR",NA,NA,NA,NA
